,label,Link Video
1,bãi cỏ,https://qipedc.moet.gov.vn/videos/W00082.mp4?autoplay=true
2,bực mình,https://qipedc.moet.gov.vn/videos/D0036.mp4?autoplay=true
3,ông bà,https://qipedc.moet.gov.vn/videos/D0151B.mp4?autoplay=true
4,hay là (hoặc là),https://qipedc.moet.gov.vn/videos/D0243B.mp4?autoplay=true
5,không cho,https://qipedc.moet.gov.vn/videos/D0033B.mp4?autoplay=true
6,bên trên,https://qipedc.moet.gov.vn/videos/W00240.mp4?autoplay=true
7,cùng / với (giới từ),https://qipedc.moet.gov.vn/videos/D0166.mp4?autoplay=true
8,họ (2 người) (đại từ),https://qipedc.moet.gov.vn/videos/D0136.mp4?autoplay=true
9,làm được,https://qipedc.moet.gov.vn/videos/D0438.mp4?autoplay=true
10,ở ngoài,https://qipedc.moet.gov.vn/videos/W02580B.mp4?autoplay=true
11,tuần này,https://qipedc.moet.gov.vn/videos/D0416B.mp4?autoplay=true
12,từ chối,https://qipedc.moet.gov.vn/videos/D0103B.mp4?autoplay=true
13,nhưng,https://qipedc.moet.gov.vn/videos/D0242B.mp4?autoplay=true
14,một ít/ một chút,https://qipedc.moet.gov.vn/videos/D0184.mp4?autoplay=true
15,là gì?,https://qipedc.moet.gov.vn/videos/W01911B.mp4?autoplay=true
16,còn bạn?,https://qipedc.moet.gov.vn/videos/D0121.mp4?autoplay=true
17,hoặc,https://qipedc.moet.gov.vn/videos/D0188B.mp4?autoplay=true
18,có … không?,https://qipedc.moet.gov.vn/videos/D0098.mp4?autoplay=true
19,các bạn,https://qipedc.moet.gov.vn/videos/W00400.mp4?autoplay=true
20,để (đặt),https://qipedc.moet.gov.vn/videos/W01173.mp4?autoplay=true
21,trong khoảng,https://qipedc.moet.gov.vn/videos/D0290.mp4?autoplay=true
22,chúng tôi (2 người) (đại từ),https://qipedc.moet.gov.vn/videos/D0130.mp4?autoplay=true
23,ra ngoài,https://qipedc.moet.gov.vn/videos/W02825B.mp4?autoplay=true
24,khác,https://qipedc.moet.gov.vn/videos/W01757.mp4?autoplay=true
25,làm việc,https://qipedc.moet.gov.vn/videos/W01928.mp4?autoplay=true
26,thời gian biểu,https://qipedc.moet.gov.vn/videos/W03303.mp4?autoplay=true
27,nói chuyện,https://qipedc.moet.gov.vn/videos/W02523.mp4?autoplay=true
28,mỗi,https://qipedc.moet.gov.vn/videos/W02237.mp4?autoplay=true
29,không có,https://qipedc.moet.gov.vn/videos/D0112.mp4?autoplay=true
30,vui mừng,https://qipedc.moet.gov.vn/videos/W03889B.mp4?autoplay=true
31,muốn,https://qipedc.moet.gov.vn/videos/W02221B.mp4?autoplay=true
32,không khí,https://qipedc.moet.gov.vn/videos/W01841.mp4?autoplay=true
33,cũng vậy/cũng thế,https://qipedc.moet.gov.vn/videos/D0118.mp4?autoplay=true
34,chơi,https://qipedc.moet.gov.vn/videos/W00639B.mp4?autoplay=true
35,nhỏ/ nhỏ bé,https://qipedc.moet.gov.vn/videos/W02500.mp4?autoplay=true
36,cuối tuần,https://qipedc.moet.gov.vn/videos/D0419.mp4?autoplay=true
37,nhà vệ sinh,https://qipedc.moet.gov.vn/videos/D0485.mp4?autoplay=true
38,đọc sách,https://qipedc.moet.gov.vn/videos/W01239.mp4?autoplay=true
39,tay,https://qipedc.moet.gov.vn/videos/W03090.mp4?autoplay=true
40,cổng,https://qipedc.moet.gov.vn/videos/W00854.mp4?autoplay=true
41,to lớn,https://qipedc.moet.gov.vn/videos/W03466.mp4?autoplay=true
42,chính tả,https://qipedc.moet.gov.vn/videos/W00619.mp4?autoplay=true
43,thêm,https://qipedc.moet.gov.vn/videos/W03240.mp4?autoplay=true
44,đất,https://qipedc.moet.gov.vn/videos/W01135.mp4?autoplay=true
45,phải không?,https://qipedc.moet.gov.vn/videos/D0120B.mp4?autoplay=true
46,cao (người),https://qipedc.moet.gov.vn/videos/W00415.mp4?autoplay=true
47,rộng lớn,https://qipedc.moet.gov.vn/videos/W02872.mp4?autoplay=true
48,theo dõi,https://qipedc.moet.gov.vn/videos/W03228.mp4?autoplay=true
49,hành động,https://qipedc.moet.gov.vn/videos/W01554.mp4?autoplay=true
50,xin lỗi,https://qipedc.moet.gov.vn/videos/W03990.mp4?autoplay=true
51,đi,https://qipedc.moet.gov.vn/videos/W01190.mp4?autoplay=true
52,tóm tắt,https://qipedc.moet.gov.vn/videos/W03482.mp4?autoplay=true
53,phân loại,https://qipedc.moet.gov.vn/videos/W02615.mp4?autoplay=true
54,cần không?,https://qipedc.moet.gov.vn/videos/D0122B.mp4?autoplay=true
55,trang điểm,https://qipedc.moet.gov.vn/videos/D0445.mp4?autoplay=true
56,cha mẹ,https://qipedc.moet.gov.vn/videos/W00482.mp4?autoplay=true
57,gần gũi,https://qipedc.moet.gov.vn/videos/W01397.mp4?autoplay=true
58,tự (tự làm),https://qipedc.moet.gov.vn/videos/W03568.mp4?autoplay=true
59,gấp đôi,https://qipedc.moet.gov.vn/videos/D0247.mp4?autoplay=true
60,gấp ba,https://qipedc.moet.gov.vn/videos/D0248.mp4?autoplay=true
61,quan sát,https://qipedc.moet.gov.vn/videos/D0256.mp4?autoplay=true
62,xảy ra,https://qipedc.moet.gov.vn/videos/D0258.mp4?autoplay=true
63,đói không?,https://qipedc.moet.gov.vn/videos/D0371.mp4?autoplay=true
64,mệt không?,https://qipedc.moet.gov.vn/videos/D0370.mp4?autoplay=true
65,chiên/rán (1)(2),https://qipedc.moet.gov.vn/videos/D0373.mp4?autoplay=true
66,nướng,https://qipedc.moet.gov.vn/videos/D0374.mp4?autoplay=true
67,luộc,https://qipedc.moet.gov.vn/videos/D0375.mp4?autoplay=true
68,xào,https://qipedc.moet.gov.vn/videos/D0376.mp4?autoplay=true
69,lẩu,https://qipedc.moet.gov.vn/videos/D0377.mp4?autoplay=true
70,thối,https://qipedc.moet.gov.vn/videos/D0381.mp4?autoplay=true
71,thiu,https://qipedc.moet.gov.vn/videos/D0382.mp4?autoplay=true
72,nguội,https://qipedc.moet.gov.vn/videos/D0383.mp4?autoplay=true
73,đồ ăn,https://qipedc.moet.gov.vn/videos/D0444.mp4?autoplay=true
74,luộc rau,https://qipedc.moet.gov.vn/videos/D0455.mp4?autoplay=true
75,nước mắm,https://qipedc.moet.gov.vn/videos/D0457.mp4?autoplay=true
76,sáng,https://qipedc.moet.gov.vn/videos/W00024.mp4?autoplay=true
77,áo,https://qipedc.moet.gov.vn/videos/W00028.mp4?autoplay=true
78,ăn uống,https://qipedc.moet.gov.vn/videos/W00042.mp4?autoplay=true
79,ấm áp,https://qipedc.moet.gov.vn/videos/W00051.mp4?autoplay=true
80,ẩm ướt,https://qipedc.moet.gov.vn/videos/W00050.mp4?autoplay=true
81,ban đêm,https://qipedc.moet.gov.vn/videos/W00086B.mp4?autoplay=true
82,bản thân,https://qipedc.moet.gov.vn/videos/W00104.mp4?autoplay=true
83,bạn,https://qipedc.moet.gov.vn/videos/W00110B.mp4?autoplay=true
84,bánh mì,https://qipedc.moet.gov.vn/videos/W00137B.mp4?autoplay=true
85,bao giờ?,https://qipedc.moet.gov.vn/videos/W00145B.mp4?autoplay=true
86,báo động,https://qipedc.moet.gov.vn/videos/W00163.mp4?autoplay=true
87,bắp ngô,https://qipedc.moet.gov.vn/videos/W00196B.mp4?autoplay=true
88,bắt tay,https://qipedc.moet.gov.vn/videos/W00202.mp4?autoplay=true
89,bóc vỏ,https://qipedc.moet.gov.vn/videos/W00300.mp4?autoplay=true
90,buổi tối,https://qipedc.moet.gov.vn/videos/W00369B.mp4?autoplay=true
91,buổi chiều,https://qipedc.moet.gov.vn/videos/W00366.mp4?autoplay=true
92,buổi trưa,https://qipedc.moet.gov.vn/videos/W00370B.mp4?autoplay=true
93,bức tranh,https://qipedc.moet.gov.vn/videos/W00386B.mp4?autoplay=true
94,cặp sách,https://qipedc.moet.gov.vn/videos/W00428.mp4?autoplay=true
95,cặp tóc,https://qipedc.moet.gov.vn/videos/W00429.mp4?autoplay=true
96,chảo,https://qipedc.moet.gov.vn/videos/W00493B.mp4?autoplay=true
97,chạy nhanh,https://qipedc.moet.gov.vn/videos/W00504.mp4?autoplay=true
98,chạy chậm,https://qipedc.moet.gov.vn/videos/W00503.mp4?autoplay=true
99,chăn (cái chăn),https://qipedc.moet.gov.vn/videos/W00509B.mp4?autoplay=true
100,chặt,https://qipedc.moet.gov.vn/videos/W00513B.mp4?autoplay=true
101,chị,https://qipedc.moet.gov.vn/videos/W00570B.mp4?autoplay=true
102,chiếc gối,https://qipedc.moet.gov.vn/videos/W00584B.mp4?autoplay=true
103,chìa khóa,https://qipedc.moet.gov.vn/videos/W00583.mp4?autoplay=true
104,chiếm đoạt,https://qipedc.moet.gov.vn/videos/W00585.mp4?autoplay=true
105,chiều cao,https://qipedc.moet.gov.vn/videos/W00594.mp4?autoplay=true
106,chiều dài,https://qipedc.moet.gov.vn/videos/W00595.mp4?autoplay=true
107,chiều rộng,https://qipedc.moet.gov.vn/videos/W00596.mp4?autoplay=true
108,chiều tối,https://qipedc.moet.gov.vn/videos/W00597.mp4?autoplay=true
109,chín,https://qipedc.moet.gov.vn/videos/W00616.mp4?autoplay=true
110,chuẩn bị,https://qipedc.moet.gov.vn/videos/W00662B.mp4?autoplay=true
111,chúc mừng,https://qipedc.moet.gov.vn/videos/W00663B.mp4?autoplay=true
112,chúc tết,https://qipedc.moet.gov.vn/videos/W00664B.mp4?autoplay=true
113,chính xác,https://qipedc.moet.gov.vn/videos/W00620B.mp4?autoplay=true
114,chứng cớ,https://qipedc.moet.gov.vn/videos/W00718.mp4?autoplay=true
115,chứng minh,https://qipedc.moet.gov.vn/videos/W00719.mp4?autoplay=true
116,coi thường,https://qipedc.moet.gov.vn/videos/W00731.mp4?autoplay=true
117,chức năng,https://qipedc.moet.gov.vn/videos/W00710.mp4?autoplay=true
118,máy vi tính,https://qipedc.moet.gov.vn/videos/W00732.mp4?autoplay=true
119,con cá,https://qipedc.moet.gov.vn/videos/W00737B.mp4?autoplay=true
120,con chó,https://qipedc.moet.gov.vn/videos/W00739B.mp4?autoplay=true
121,con chim,https://qipedc.moet.gov.vn/videos/W00738.mp4?autoplay=true
122,con chuột,https://qipedc.moet.gov.vn/videos/W00742B.mp4?autoplay=true
123,con lợn (con heo),https://qipedc.moet.gov.vn/videos/W00770B.mp4?autoplay=true
124,con muỗi,https://qipedc.moet.gov.vn/videos/W00773B.mp4?autoplay=true
125,con mèo,https://qipedc.moet.gov.vn/videos/W00772B.mp4?autoplay=true
126,con người,https://qipedc.moet.gov.vn/videos/W00777B.mp4?autoplay=true
127,cô giáo,https://qipedc.moet.gov.vn/videos/W00812B.mp4?autoplay=true
128,côn trùng,https://qipedc.moet.gov.vn/videos/W00837.mp4?autoplay=true
129,công sức,https://qipedc.moet.gov.vn/videos/W00844.mp4?autoplay=true
130,công tắc,https://qipedc.moet.gov.vn/videos/W00845.mp4?autoplay=true
131,công cụ,https://qipedc.moet.gov.vn/videos/W00841.mp4?autoplay=true
132,công cộng,https://qipedc.moet.gov.vn/videos/W00840.mp4?autoplay=true
133,công viên,https://qipedc.moet.gov.vn/videos/W00850B.mp4?autoplay=true
134,cơ hội,https://qipedc.moet.gov.vn/videos/W00868B.mp4?autoplay=true
135,cởi áo,https://qipedc.moet.gov.vn/videos/W00876.mp4?autoplay=true
136,cơm hộp,https://qipedc.moet.gov.vn/videos/W00877.mp4?autoplay=true
137,cúi,https://qipedc.moet.gov.vn/videos/W00895.mp4?autoplay=true
138,củ cà rốt,https://qipedc.moet.gov.vn/videos/W00901.mp4?autoplay=true
139,củ khoai tây,https://qipedc.moet.gov.vn/videos/W00905.mp4?autoplay=true
140,củ nghệ,https://qipedc.moet.gov.vn/videos/W00906.mp4?autoplay=true
141,củ tỏi,https://qipedc.moet.gov.vn/videos/W00908.mp4?autoplay=true
142,củ gừng,https://qipedc.moet.gov.vn/videos/W00903.mp4?autoplay=true
143,cục tẩy,https://qipedc.moet.gov.vn/videos/W00914.mp4?autoplay=true
144,cuộn giấy vệ sinh,https://qipedc.moet.gov.vn/videos/W00925.mp4?autoplay=true
145,cửa sổ,https://qipedc.moet.gov.vn/videos/W00939.mp4?autoplay=true
146,dạy,https://qipedc.moet.gov.vn/videos/W00979.mp4?autoplay=true
147,cửa hàng,https://qipedc.moet.gov.vn/videos/W00935B.mp4?autoplay=true
148,cứu,https://qipedc.moet.gov.vn/videos/W00947.mp4?autoplay=true
149,cướp,https://qipedc.moet.gov.vn/videos/W00943B.mp4?autoplay=true
150,dán,https://qipedc.moet.gov.vn/videos/W00972.mp4?autoplay=true
151,dầu ăn,https://qipedc.moet.gov.vn/videos/W00993.mp4?autoplay=true
152,dầu gội đầu,https://qipedc.moet.gov.vn/videos/W00994.mp4?autoplay=true
153,dễ thương,https://qipedc.moet.gov.vn/videos/W01027.mp4?autoplay=true
154,dịch vụ,https://qipedc.moet.gov.vn/videos/W01033B.mp4?autoplay=true
155,dòng sông,https://qipedc.moet.gov.vn/videos/W01058.mp4?autoplay=true
156,dốc,https://qipedc.moet.gov.vn/videos/W01060.mp4?autoplay=true
157,dốt,https://qipedc.moet.gov.vn/videos/W01061.mp4?autoplay=true
158,đăng ký,https://qipedc.moet.gov.vn/videos/W01126.mp4?autoplay=true
159,đăng nhập,https://qipedc.moet.gov.vn/videos/W01127.mp4?autoplay=true
160,đằng sau,https://qipedc.moet.gov.vn/videos/W01128.mp4?autoplay=true
161,đập,https://qipedc.moet.gov.vn/videos/W01134.mp4?autoplay=true
162,đèn điện,https://qipedc.moet.gov.vn/videos/W01155B.mp4?autoplay=true
163,đi học,https://qipedc.moet.gov.vn/videos/W01191.mp4?autoplay=true
164,đèn pin,https://qipedc.moet.gov.vn/videos/W01159B.mp4?autoplay=true
165,đẹp đẽ (như đẹp),https://qipedc.moet.gov.vn/videos/W01170.mp4?autoplay=true
166,đều đặn,https://qipedc.moet.gov.vn/videos/W01188.mp4?autoplay=true
167,điện,https://qipedc.moet.gov.vn/videos/W01205B.mp4?autoplay=true
168,điện thoại,https://qipedc.moet.gov.vn/videos/W01208.mp4?autoplay=true
169,điều khiển,https://qipedc.moet.gov.vn/videos/W01214.mp4?autoplay=true
170,điều kiện,https://qipedc.moet.gov.vn/videos/W01215.mp4?autoplay=true
171,điều hòa,https://qipedc.moet.gov.vn/videos/W01213B.mp4?autoplay=true
172,đối diện,https://qipedc.moet.gov.vn/videos/W01257.mp4?autoplay=true
173,đôi dép,https://qipedc.moet.gov.vn/videos/W01255.mp4?autoplay=true
174,nhiệt độ,https://qipedc.moet.gov.vn/videos/W01298.mp4?autoplay=true
175,đợi,https://qipedc.moet.gov.vn/videos/W01304B.mp4?autoplay=true
176,đơn giản,https://qipedc.moet.gov.vn/videos/W01305.mp4?autoplay=true
177,đun nấu,https://qipedc.moet.gov.vn/videos/W01321.mp4?autoplay=true
178,găng tay,https://qipedc.moet.gov.vn/videos/W01393.mp4?autoplay=true
179,gắp thức ăn,https://qipedc.moet.gov.vn/videos/W01394.mp4?autoplay=true
180,đi vệ sinh,https://qipedc.moet.gov.vn/videos/D0486.mp4?autoplay=true
181,nhầm,https://qipedc.moet.gov.vn/videos/D0060B.mp4?autoplay=true
